Production_zone,Production_lon,Production_lat
133,-87.82376843,42.58398017
134,-89.08280466,42.29792741
135,-88.2554466,41.83505356
136,-88.12183046,41.4767115
137,-87.39262007,41.58576457
138,-87.91046068,41.8970427
139,-87.70459042,41.84669
141,-87.91206227,41.98760761
142,-87.75254513,41.78517116
143,-87.41565712,41.6185076
144,-87.89351837,42.94873203
145,-87.53162099,41.72906601
146,-87.44422204,41.6624444
147,-89.10509774,42.25886524
148,-89.09953703,41.89872934
149,-88.15356402,41.39150416
150,-87.71054984,41.82210154
151,-86.80694387,33.54171345
152,-87.93364526,30.75849465
153,-86.81639297,32.12623389
154,-149.9003008,61.21805724
155,-112.0746379,33.18673377
156,-111.7960128,32.09958351
157,-111.4216736,34.73352972
158,-92.46269059,34.82431473
159,-116.5985737,34.500266
160,-121.1799704,38.97158688
161,-116.7333944,33.03577258
162,-122.0317094,37.72938519
163,-118.8968669,37.20567816
164,-104.7725939,39.81158925
165,-106.7609115,38.59115799
166,-72.53858087,41.71068875
167,-73.19991805,41.53377158
168,-72.10207945,41.48899016
169,-75.50517888,38.98891912
170,-77.01499317,38.90950029
171,-81.79442938,30.23567241
172,-80.34235458,26.19378713
173,-81.50062586,28.62589963
174,-82.45374193,28.04548085
175,-82.97156504,29.69256523
176,-84.48985453,33.70095681
177,-81.42530377,31.99894677
178,-83.48208013,32.42614718
181,-114.6216586,44.35380574
183,-90.03535778,38.83415335
184,-88.97234072,40.03636497
185,-87.19571807,41.05716711
186,-86.15315791,39.70006372
187,-86.10141474,40.88744788
188,-93.50067109,42.07570839
189,-94.75377866,38.7933338
190,-98.53797567,38.47965041
191,-85.56589868,38.08424937
192,-84.17440793,37.8923917
193,-91.13188584,30.51924404
194,-93.16174941,30.06734825
195,-90.08580706,30.01616313
196,-92.29483338,31.38151703
197,-69.24112184,45.36981208
198,-76.52432186,39.35694698
199,-77.12911445,39.10559208
200,-75.88144387,38.62550484
201,-71.18570843,42.27826812
202,-72.78684266,42.3556816
203,-83.01874675,42.63765708
204,-85.52325363,43.10376878
205,-84.74612825,44.48361252
206,-93.60759362,45.08617729
207,-94.38943582,46.41696873
208,-89.62463963,32.66724185
209,-94.32546673,39.15448088
210,-90.64553857,38.68583613
211,-92.43163124,38.28321667
212,-109.7020442,47.05454003
213,-99.81688184,41.54102126
214,-116.4906203,37.57064572
215,-116.8577206,39.90492711
216,-71.467376,43.67355844
217,-74.38366058,40.58903719
218,-74.97380145,39.6861829
219,-74.67148009,39.47070954
220,-106.1347151,34.40179635
221,-73.85126361,42.82156896
222,-78.61161442,42.81593851
223,-73.90042418,41.49450809
224,-77.39557457,43.16376476
225,-76.16272767,43.31814363
226,-80.79581558,35.34785355
227,-79.83854234,36.14787901
228,-78.83645611,35.76139362
229,-77.82993986,35.36665187
230,-100.4819653,47.45042608
231,-84.47173327,39.15946331
232,-81.41801937,41.38316709
233,-82.94614318,39.98419129
234,-84.24603676,39.91334796
235,-81.88779862,40.32028269
236,-97.43596536,35.40119239
237,-96.14905707,36.27806132
238,-98.87215124,36.18991166
239,-122.6202785,45.43840617
240,-120.5096075,43.85193369
241,-75.55822698,40.20908226
242,-80.008825,40.55338461
243,-77.72191798,41.17010814
244,-71.55581316,41.67784852
245,-79.92846028,33.00915994
246,-82.12647332,34.7482637
247,-80.6823372,33.82258946
248,-100.2473256,44.44501274
249,-90.04757606,35.23959667
250,-86.74982372,36.11354723
251,-84.84876804,35.74091548
252,-97.65439133,30.26180078
253,-94.21416208,30.1047925
254,-97.62375752,27.45891548
255,-96.94459548,32.93834126
256,-106.2341936,31.76846951
257,-95.39868793,29.81201028
258,-99.33107732,27.76087858
259,-98.602495,29.42673367
260,-99.84753909,31.70153261
261,-112.6239669,40.92137283
262,-111.408095,38.80548496
263,-72.78517598,44.0116791
264,-77.52645423,37.52459207
265,-76.38883368,36.74713185
266,-77.46481051,38.69636001
267,-78.95292431,37.68811087
268,-122.0833323,47.66230808
269,-120.2014434,47.3244232
270,-81.15271472,38.35535067
271,-88.17280005,43.17595654
272,-90.08669714,44.70861352
273,-107.5784863,42.99391309
310,-97.55931969,50.01101181
399,-100.19545,21.12104675
