Production_zone,Production_lon,Production_lat
1,-88.18002119,42.11073707
2,-88.06307182,42.11047208
3,-87.94625868,42.10994199
4,-87.82907061,42.10942024
5,-87.73818518,42.09484984
6,-88.20408218,42.02720929
7,-88.08822089,42.02900799
8,-87.97680991,42.03022837
9,-87.862413,42.03239027
10,-87.74835942,42.03128409
11,-87.67740398,42.02518092
12,-87.86567912,41.95395742
13,-87.74786084,41.95333783
14,-87.66317992,41.95013544
15,-87.8619927,41.86381501
16,-87.74515049,41.86580994
17,-87.64854264,41.8656436
18,-87.8582105,41.77655686
19,-87.74230372,41.77839422
20,-87.62223637,41.77558432
21,-87.96511837,41.66936658
22,-87.85609683,41.6892094
23,-87.73934011,41.69096793
24,-87.60296154,41.69069056
25,-87.85237196,41.60142472
26,-87.73470982,41.60222552
27,-87.60103077,41.60169519
28,-87.73283192,41.51372459
29,-87.59979071,41.51376702
30,-88.64779373,42.45494637
31,-88.53043048,42.45505111
32,-88.41298439,42.45502024
33,-88.27677424,42.45555776
34,-88.64737179,42.37136565
35,-88.53049274,42.37152446
36,-88.4133774,42.37203324
37,-88.27719753,42.37198368
38,-88.6472869,42.28437057
39,-88.5304199,42.28435548
40,-88.41352935,42.28463331
41,-88.27673457,42.28467607
42,-88.64729604,42.19719053
43,-88.53057348,42.19750437
44,-88.41346636,42.19733025
45,-88.27659057,42.19773371
46,-88.15895169,42.45696715
47,-88.06091161,42.45444877
48,-87.94389348,42.4541174
49,-87.84273982,42.45351774
50,-88.15994657,42.37255449
51,-88.06356666,42.37127801
52,-87.94464606,42.37105528
53,-87.84977507,42.37397785
54,-88.15945347,42.28515089
55,-88.0625002,42.28425315
56,-87.94509805,42.28396993
57,-87.85665801,42.28130741
58,-88.16000058,42.19785095
59,-88.06250751,42.19725622
60,-87.94532983,42.19692105
61,-87.83687035,42.19190366
62,-88.53019704,42.1102666
63,-88.41342089,42.11063293
64,-88.29649369,42.11037627
65,-88.5455739,42.02430404
66,-88.4329764,42.0251989
67,-88.32003048,42.02620959
68,-88.54500875,41.9384059
69,-88.43159698,41.94002693
70,-88.31891546,41.9417507
71,-88.545479,41.85125685
72,-88.4323396,41.85292635
73,-88.31933022,41.85455326
74,-88.54574378,41.76401059
75,-88.4323558,41.76597939
76,-88.31902132,41.76728186
77,-88.20395426,41.94369548
78,-88.0882035,41.94679985
79,-87.97610237,41.94908931
80,-88.20444036,41.85647664
81,-88.08957733,41.858867
82,-87.97648829,41.86101242
83,-88.20507925,41.76921108
84,-88.08996469,41.77101418
85,-87.97488197,41.77372349
86,-87.97898363,41.71068114
87,-88.20355942,41.68116664
88,-88.08791289,41.68390292
89,-88.20024298,41.59390031
90,-88.08494953,41.59643309
91,-87.9685473,41.59923033
92,-88.1968668,41.50718094
93,-88.08131362,41.5096524
94,-87.96558395,41.51221116
95,-87.84940514,41.51394488
96,-88.19351993,41.42037516
97,-88.07787818,41.42290201
98,-87.961594,41.42437
99,-87.84529442,41.42606354
100,-87.72870875,41.42656687
101,-87.5982763,41.42696993
102,-88.190706,41.33323194
103,-88.07500298,41.33559749
104,-87.95929271,41.33680992
105,-87.84339686,41.33858775
106,-87.72761579,41.33985615
107,-87.59804182,41.34088469
108,-88.19067543,41.24443791
109,-88.0750676,41.2496883
110,-88.54637775,41.67678667
111,-88.42865465,41.67647417
112,-88.31392992,41.67994752
113,-88.5419794,41.58935006
114,-88.42610688,41.58873489
115,-88.31266821,41.59239372
116,-88.54056352,41.50153302
117,-88.42416376,41.50287062
118,-88.30974559,41.50520239
119,-88.41849508,41.28487623
120,-88.82318597,42.32289225
121,-88.7703822,41.89316414
122,-87.86186566,41.13774713
123,-89.16085907,42.3362549
124,-89.05621814,42.02154156
125,-89.05430562,41.75879894
126,-88.87863813,41.36638003
127,-87.38204875,41.42141005
128,-87.06710835,41.46026557
129,-86.74008052,41.54578768
130,-88.04188438,42.57684839
131,-88.0611265,42.7474985
132,-88.54177667,42.66840011
